id,type,name,character,order,job,department,gender
11,cast,Shelagh Fraser,Aunt Beru,11,,,1
11,cast,Jack Purvis,Chief Jawa,12,,,2
11,cast,Eddie Byrne,General Willard,13,,,2
11,cast,Denis Lawson,Red Two (Wedge),14,,,2
11,cast,Garrick Hagon,Red Three (Biggs),15,,,2
11,cast,Don Henderson,General Taggi,16,,,2
11,cast,Leslie Schofield,Commander #1,17,,,2
11,cast,Richard LeParmentier,General Motti,18,,,2
11,cast,Michael Leader,Stormtrooper,19,,,2
11,cast,Alex McCrindle,General Dodonna,20,,,2
11,cast,Drewe Henley,Red Leader,21,,,2
11,cast,Jack Klaff,"Red Four (John ""D"")",22,,,2
11,cast,William Hootkins,Red Six (Porkins),23,,,2
11,cast,Angus MacInnes,Gold Leader,24,,,2
11,cast,Jeremy Sinden,Gold Two,25,,,2
11,cast,Graham Ashley,Gold Five,26,,,2
11,cast,David Ankrum,Red Two (voice) (uncredited),27,,,2
11,cast,Mark Austin,Boba Fett (special edition) (uncredited),28,,,2
11,cast,Scott Beach,Stormtrooper (voice) (uncredited),29,,,2
11,cast,Lightning Bear,Stormtrooper (uncredited),30,,,2
11,cast,Jon Berg,Cantina Alien (uncredited),31,,,2
11,cast,Doug Beswick,Cantina Alien (uncredited),32,,,0
11,cast,Paul Blake,Greedo (uncredited),33,,,2
11,cast,Janice Burchette,Nabrun Leids (uncredited),34,,,0
11,cast,Ted Burnett,Wuher (uncredited),35,,,2
11,cast,John Chapman,Drifter (Red 12) (uncredited),36,,,2
11,cast,Gilda Cohen,Cantina Patron (uncredited),37,,,2
11,cast,Tim Condren,Stormtrooper (uncredited),38,,,2
11,cast,Barry Copping,Wioslea (uncredited),39,,,0
11,cast,Alfie Curtis,Dr. Evazan (uncredited),40,,,2
11,cast,Robert Davies,Cantina Patron (uncredited),41,,,0
11,cast,Maria De Aragon,Greedo (uncredited),42,,,1
11,cast,Robert A. Denham,Hrchek Kal Fas (uncredited),43,,,0
11,cast,Frazer Diamond,Jawa (uncredited),44,,,0
11,cast,Peter Diamond,Stormtrooper / Tusken Raider / Death Star Trooper / Garouf Lafoe (uncredited),45,,,2
11,cast,Warwick Diamond,Jawa (uncredited),46,,,0
11,cast,Sadie Eden,Garindan (uncredited),47,,,0
11,cast,Kim Falkinburg,Djas Puhr (uncredited),48,,,0
11,cast,Harry Fielder,Death Star Trooper (uncredited),49,,,2
11,cast,Ted Gagliano,Stormtrooper with Binoculars (uncredited),50,,,0
11,cast,Salo Gardner,Cantina Patron (uncredited),51,,,0
11,cast,Steve Gawley,Death Star Trooper (uncredited),52,,,0
11,cast,Barry Gnome,Kabe (uncredited),53,,,0
11,cast,Rusty Goffe,Kabe / Jawa / GONK Droid (uncredited),54,,,0
11,cast,Isaac Grand,Cantina Patron (uncredited),55,,,0
11,cast,Nelson Hall,Stormtrooper (special edition) (uncredited),56,,,0
11,cast,Reg Harding,Stormtrooper (uncredited),57,,,0
11,cast,Alan Harris,Leia's Rebel Escort (uncredited),58,,,2
11,cast,Frank Henson,Stormtrooper (uncredited),59,,,0
11,cast,Christine Hewett,Brea Tonnika (uncredited),60,,,0
11,cast,Arthur Howell,Stormtrooper (uncredited),61,,,0
11,cast,Tommy Ilsley,Ponda Baba (uncredited),62,,,0
11,cast,Joe Johnston,Death Star Trooper (uncredited),63,,,2
11,cast,Annette Jones,Mosep (uncredited),64,,,0
11,cast,Linda Jones,Chall Bekan (uncredited),65,,,0
11,cast,Joe Kaye,Solomohal (uncredited),66,,,0
11,cast,Colin Michael Kitchens,Stormtrooper (voice) (uncredited),67,,,0
11,cast,Melissa Kurtz,Jawa (uncredited),68,,,0
11,cast,Tiffany L. Kurtz,Jawa (uncredited),69,,,0
11,cast,Al Lampert,Daine Jir (uncredited),70,,,0
11,cast,Anthony Lang,BoShek (uncredited),71,,,0
11,cast,Laine Liska,Muftak / Cantina Band Member (uncredited),72,,,0
11,cast,Derek Lyons,Temple Guard / Medal Bearer (uncredited),73,,,2
11,cast,Mahjoub,Jawa (uncredited),74,,,0
11,cast,Alf Mangan,Takeel (uncredited),75,,,0
11,cast,Rick McCallum,Stormtrooper (special edition) (uncredited),76,,,0
11,cast,Grant McCune,Death Star Gunner (uncredited),77,,,0
11,cast,Geoffrey Moon,Cantina Patron (uncredited),78,,,0
11,cast,Mandy Morton,Swilla Corey (uncredited),79,,,0
11,cast,Lorne Peterson,Massassi Base Rebel Scout (uncredited),80,,,0
11,cast,Marcus Powell,Rycar Ryjerd (uncredited),81,,,0
11,cast,Shane Rimmer,InCom Engineer (uncredited),82,,,2
11,cast,Pam Rose,Leesub Sirln (uncredited),83,,,0
11,cast,George Roubicek,Cmdr. Praji (Imperial Officer #2 on rebel ship) (uncredited),84,,,2
11,cast,Erica Simmons,Tawss Khaa (uncredited),85,,,0
11,cast,Angela Staines,Senni Tonnika (uncredited),86,,,0
11,cast,George Stock,Cantina Patron (uncredited),87,,,0
11,cast,Roy Straite,Cantina Patron (uncredited),88,,,0
11,cast,Peter Sturgeon,Sai'torr Kal Fas (uncredited),89,,,0
11,cast,Peter Sumner,Lt. Pol Treidum (uncredited),90,,,2
11,cast,John Sylla,Cantina Voices (voice) (uncredited),91,,,0
11,cast,Tom Sylla,Massassi Outpost Announcer / Various Voices (voice) (uncredited),92,,,0
11,cast,Malcolm Tierney,Lt. Shann Childsen (uncredited),93,,,2
11,cast,Phil Tippett,Cantina Alien (uncredited),94,,,2
11,cast,Burnell Tucker,Del Goren (uncredited),95,,,0
11,cast,Morgan Upton,Stormtrooper (voice) (uncredited),96,,,0
11,cast,Jerry Walter,Stormtrooper (voice) (uncredited),97,,,0
11,cast,Hal Wamsley,Jawa (uncredited),98,,,0
11,cast,Larry Ward,Greedo (voice) (uncredited),99,,,2
11,cast,Diana Sadley Way,Thuku (uncredited),100,,,0
11,cast,Harold Weed,Ketwol / Melas (uncredited),101,,,0
11,cast,Bill Weston,Stormtrooper (uncredited),102,,,2
11,cast,Steve 'Spaz' Williams,Mos Eisley Citizen (special edition) (uncredited),103,,,0
11,cast,Fred Wood,Cantina Patron (uncredited),104,,,0
11,cast,Colin Higgins,Rebel Pilot (uncredited),105,,,0
11,crew,George Lucas,,,Director,Directing,2
11,crew,George Lucas,,,Executive Producer,Production,2
11,crew,George Lucas,,,Writer,Writing,2
11,crew,Gary Kurtz,,,Producer,Production,2
11,crew,Rick McCallum,,,Producer,Production,0
11,crew,John Williams,,,Original Music Composer,Sound,2
11,crew,Gilbert Taylor,,,Director of Photography,Camera,2
11,crew,Vic Ramos,,,Casting,Production,2
11,crew,Irene Lamb,,,Casting,Production,1
11,crew,Norman Reynolds,,,Art Direction,Art,2
