id,name,character,order,gender
13,Lazarus Jackson,Discharge Officer,48,0
13,Lazarus Jackson,Drugged Out Boyfriend,49,0
13,Nora Dunfee,Elderly Southern Woman,50,0
13,Hallie D'Amore,Waitress in cafe,51,0
13,Michael Mattison,Taxi Driver,52,2
13,Charles Boswell,Aging Hippie,53,2
13,Timothy McNeil,Wild eyed man,54,2
13,Bob Penny,Crony,55,2
13,Greg Brown,Football Player (uncredited),56,0
13,Troy Christian,Cheerleader (uncredited),57,2
13,Bryan Hanna,Football Coach (uncredited),58,2
13,Zach Hanner,Barracks Recruit (uncredited),59,0
13,Aaron Michael Lacey,National Guardsman (uncredited),60,0
13,Jacqueline Lovell,Football Fan (uncredited),61,1
13,Brendan Shanahan,Football Player (uncredited),63,0
13,William Shipman,Black Panther (uncredited),64,0
13,Robb Skyler,Nicholas Katzenbach (uncredited),65,2
13,Mary Ellen Trainor,Jenny's Babysitter (uncredited),66,0
8587,Jonathan Taylor Thomas,Young Simba (voice),0,2
8587,Matthew Broderick,Adult Simba (voice),1,2
8587,James Earl Jones,King Mufasa (voice),2,0
8587,Jeremy Irons,Scar (voice),3,2
8587,Moira Kelly,Adult Nala (voice),4,1
8587,Niketa Calame,Young Nala (voice),5,1
8587,Ernie Sabella,Pumbaa (voice),6,2
8587,Nathan Lane,Timon (voice),7,2
8587,Robert Guillaume,Rafiki (voice),8,2
8587,Rowan Atkinson,Zazu the Hornbill (voice),9,2
8587,Whoopi Goldberg,Shenzi the Hyena (voice),10,1
8587,Cheech Marin,Banzai the Hyena (voice),11,2
8587,Jim Cummings,ED the Hyena (voice),12,2
8587,Madge Sinclair,"Sarabi, Simba's Mother (voice)",13,1
8587,Joseph Williams,Adult Simba (singing voice),14,2
8587,Jason Weaver,Young Simba (singing voice),15,2
8587,Sally Dworsky,Adult Nala (singing voice),16,1
8587,Laura Williams,Young Nala (singing voice),17,0
8587,Zoe Leader,"Sarafina, Nala's Mother (voice)",18,1
8587,Frank Welker,Lion Roars (voice),19,2
8587,Judi M. Durand,Additional Voices (voice) (uncredited),20,0
8587,Daamen J. Krall,Additional Voices (voice) (uncredited),21,0
8587,David McCharen,Additional Voices (voice) (uncredited),22,2
8587,Mary Linda Phillips,Additional Voices (voice) (uncredited),23,1
8587,Phil Proctor,Additional Voices (voice) (uncredited),24,2
8587,David J. Randolph,Additional Voices (voice) (uncredited),25,2
8587,Evan Saucedo,Young Simba - in 'Morning Report' (singing voice) (uncredited),26,0
8587,Brian Tochi,Fighting Hyena (voice) (uncredited),27,2
329,Sam Neill,Dr. Alan Grant,0,2
329,Laura Dern,Dr. Ellie Sattler,1,1
329,Jeff Goldblum,Dr. Ian Malcolm,2,2
329,Richard Attenborough,John Hammond,3,2
329,Bob Peck,Robert Muldoon,4,0
329,Martin Ferrero,Donald Gennaro,5,2
329,BD Wong,Wu,6,2
329,Joseph Mazzello,Tim Murphy,7,2
329,Ariana Richards,Lex Murphy,8,1
329,Samuel L. Jackson,Arnold,9,2
329,Wayne Knight,Dennis Nedry,10,2
329,Gerald R. Molen,Gerry Harding,11,2
329,Miguel Sandoval,Juanito Rostagno,12,2
329,Cameron Thor,Lewis Dodgson,13,2
329,Christopher John Fields,Volunteer #1,14,2
329,Whit Hertford,Volunteer Boy,15,2
329,Dean Cundey,Mate,16,2
329,Jophery C. Brown,Worker in Raptor Pen,17,0
329,Tom Mishler,Helicopter Pilot,18,0
329,Greg Burson,Mr. D.N.A. (voice),19,2
329,Adrian Escober,Worker at Amber Mine,20,0
329,Richard Kiley,Jurassic Park Tour Voice (voice),21,2
329,Brad M. Bucklin,Lab Technician (uncredited),22,0
329,Laura Burnett,Archeologist (uncredited),23,0
329,Gary Rodriguez,Miner - Dug Out Mosquito (uncredited),24,2
329,Brian Smrz,"Driver of Grant, Sattler & Malcolm's Jeep (uncredited)",25,2
329,Robert 'Bobby Z' Zajonc,InGen Helicopter Pilot (uncredited),26,2
424,Liam Neeson,Oskar Schindler,0,2
424,Ben Kingsley,Itzhak Stern,1,2
424,Ralph Fiennes,Amon Goeth,2,2
424,Caroline Goodall,Emilie Schindler,3,1
424,Jonathan Sagall,Poldek Pfefferberg,4,0
424,Embeth Davidtz,Helen Hirsch,5,1
424,Malgorzata Gebel,Victoria Klonowska,6,1
424,Shmuel Levy,Wilek Chilowicz,7,0
424,Mark Ivanir,Marcel Goldberg,8,2
424,Béatrice Macola,Ingrid,9,0
424,Andrzej Seweryn,Julian Scherner,10,2
